2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI-2_08.json with APPID: 100569541
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_BureauLength_01.json with APPID: 100569542
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_BureauLength_02.json with APPID: 100569543
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_BureauLength_03.json with APPID: 100569544
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_BureauLength_04.json with APPID: 100569545
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_BureauLength_05.json with APPID: 100569546
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_BureauLength_06.json with APPID: 100569547
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_Business_App_01.json with APPID: 100569548
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_Business_App_02.json with APPID: 100569549
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_Business_App_03.json with APPID: 100569550
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_Business_App_04.json with APPID: 100569551
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: CLI_Business_App_05.json with APPID: 100569552
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: DiffScen_01.json with APPID: 100569553
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: DiffScen_02.json with APPID: 100569554
2025-10-09 09:17:59 - APITestFramework - INFO - Processed file: DiffScen_03.json with APPID: 100569555
2025-10-09 09:18:00 - APITestFramework - INFO - Processed file: DiffScen_04.json with APPID: 100569556
2025-10-09 09:18:00 - APITestFramework - INFO - Processed file: DiffScen_05.json with APPID: 100569557
2025-10-09 09:18:00 - APITestFramework - INFO - Processed file: DiffScen_06.json with APPID: 100569558
